user_id,date,hour,impressions,clicks,video_midpoint,video_complete_views,asset,conversions
00007e57-36c3-49aa-9917-4266a59c3bea,2022-11-07,1,1,1,1,1,Asset1,0
000449ee-3b62-4e56-be4e-f600a728bbc5,2022-11-08,4,1,0,0,0,Asset1,0
00065b29-9ef3-4c60-8605-7f796d00e3d2,2022-11-10,1,1,0,0,0,Asset1,0
0009d922-3cd3-4a9c-a70c-b1b2fcaa8bfa,2022-11-11,4,1,0,0,0,Asset1,0
000bce0a-3c18-4cf5-9e5b-d2b0fe17ec8e,2022-11-09,3,1,0,0,0,Asset1,0
000c83bd-eb24-4f61-a2db-320d3261c601,2022-11-11,4,1,0,0,0,Asset1,0
000d3542-ecd9-4886-b670-0d79de61631d,2022-11-12,5,1,0,0,0,Asset1,0
000de28d-5893-4041-879e-f2dd91f5beed,2022-11-12,5,1,0,0,0,Asset1,0
000f7ca7-b895-424a-9bb7-557277979a0e,2022-11-12,12,1,0,1,1,Asset1,0
000fc69d-f385-464d-8092-583bbc3dcae0,2022-11-12,10,1,0,1,1,Asset1,0
000fdbc9-02bf-4fdc-8e7f-632838e97046,2022-11-11,6,1,0,1,1,Asset1,0
00106248-d803-4542-9ae4-f870239a3e6a,2022-11-07,11,1,0,0,0,Asset1,0
00106248-d803-4542-9ae4-f870239a3e6a,2022-11-08,9,1,0,0,0,Asset1,0
0011a6d7-cfba-4e0f-92fc-4f3928dcf6b3,2022-11-08,8,2,0,0,0,Asset1,0
0011a6d7-cfba-4e0f-92fc-4f3928dcf6b3,2022-11-12,4,1,0,0,0,Asset1,0
00140650-ed45-4c2d-8b00-bf3317d9ee51,2022-11-08,4,3,0,0,0,Asset1,0
001596d4-843f-4a5b-9c3b-e9b02938ceab,2022-11-07,7,1,0,0,0,Asset1,0
0017b6c2-5902-41bd-aea5-9318bc89fe8c,2022-11-07,12,1,0,1,1,Asset1,0
00183ede-b54b-4609-a8d8-524736e9b7bf,2022-11-08,5,1,0,0,0,Asset1,0
00199c16-9850-405a-b028-003d6c255801,2022-11-08,4,1,0,1,1,Asset1,0
001a3344-4418-4197-91c2-9a830964296e,2022-11-12,8,1,0,0,0,Asset1,0
001a9dd9-591b-4e92-b2cc-d2a14ace22d2,2022-11-11,2,1,0,0,0,Asset1,0
001c2eee-90de-4918-83e3-bcf9cde87d67,2022-11-07,7,3,0,3,2,Asset1,0
001cd31b-baa0-413e-b3b3-be98da8e6d2e,2022-11-09,6,1,0,0,0,Asset1,0
